customer_id,offer_id,event_ts,event_dt,offer_action,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20,var_21,var_22,var_23,var_24,var_25,var_26,var_27,var_28,var_29,var_30,var_31,var_32,var_33,var_34,var_35,var_36,var_37,var_38,var_39,var_40,var_41,var_42,var_43,var_44,var_45,var_46,var_47,var_48,var_49,var_50
1010494,601711,25:21.0,01/11/2023 00:00,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,57.24,None,346.57,0,0,None,0,0,0,0,0,0,0,0,None,150,None,50,None,nan,0.333333333,90,10355,138921,0.089582997,0.083204102,2151,0,0,0,0,0,TRUE,0
1010494,33452,37:35.2,09/11/2023 00:00,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,57.24,None,346.57,0,0,None,0,0,0,29.29,0,0,0,0,1,500,None,None,10000,-20,None,79,6735,69013,0.111752117,0.181776448,1668,0,0,0,0,0,1,0
1010494,88456737,15:55.0,01/11/2023 00:00,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,57.24,None,346.57,0,0,None,0,0,0,0,0,0,0,0,None,None,3,None,None,nan,None,29,None,None,0.0885143,None,None,0,0,0,0,0,1,0
1010494,390981,27:27.0,01/11/2023 00:00,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,57.24,None,346.57,0,0,None,0,0,0,0,0,0,0,0,None,125,None,25,None,nan,0.2,122,9506,151065,0.086930807,0.059245665,3678,0,FALSE,0,0,0,1,0
1010494,7114,37:38.6,09/11/2023 00:00,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,57.24,None,346.57,0,0,None,0,0,0,29.29,0,0,0,0,1,150,None,50,None,nan,0.333333333,62,4394,43219,0.089496912,0.124221002,3619,0,0,0,FALSE,0,1,0
1010494,72053,44:33.2,09/11/2023 00:00,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,57.24,None,346.57,0,0,None,0,0,0,29.29,0,0,0,0,1,None,None,None,5,nan,None,65,9452,69901,0.204255399,0.201717914,1905,0,0,FALSE,FALSE,0,1,0
1010494,6919527,23:22.0,01/11/2023 00:00,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,57.24,None,346.57,0,0,None,0,0,0,0,0,0,0,0,None,None,3,None,None,nan,None,29,None,None,0.074321417,None,None,0,FALSE,0,FALSE,0,1,0
1010494,60142,09/11/2023 08:37,09/11/2023 00:00,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,57.24,None,346.57,0,0,None,0,0,0,29.29,0,0,0,0,1,75,None,30,None,nan,0.4,60,1276,7607,0.144743083,0.375322513,696,0,0,0,0,0,TRUE,0
1010494,55716,26:33.0,01/11/2023 00:00,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,57.24,None,346.57,0,0,None,0,0,0,0,0,0,0,0,None,99,None,50,None,nan,0.505050505,123,9917,148688,0.068832256,0.063888132,3735,0,0,0,0,0,1,0
1010494,404258283,39:55.0,09/11/2023 00:00,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,57.24,None,346.57,0,0,None,0,0,0,0,0,0,0,0,1,None,10,None,None,nan,None,29,4286,40184,0.070121756,0.124420813,4306,0,0,0,0,0,1,0
1010494,24964,16:30.0,01/11/2023 00:00,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,57.24,None,346.57,0,0,None,0,0,0,0,0,0,0,0,None,None,None,None,None,nan,None,92,7201,89011,None,0.07114076,3839,0,0,0,0,0,1,FALSE
1010494,357699,37:18.5,09/11/2023 00:00,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,57.24,None,346.57,0,0,None,0,0,0,29.29,0,0,0,0,1,None,None,None,4,nan,None,183,5797,74701,0.091424737,0.15905432,2048,0,0,0,0,0,TRUE,0
